over,under
Callawa Formation,Paterson Formation
Callawa Formation,Gorge Creek Group
Callawa Formation,De Grey Group
Camfield beds,Antrim Plateau Volcanics
Carlton Formation,Edinboro Formation
Waree Creek Formation,Carlton Formation
Carrickalinga Head Formation,Normanville Group
Backstairs Passage Formation,Carrickalinga Head Formation
Carrickalinga Head Formation,Truro Volcanics
Carrickalinga Head Formation,Heatherdale Shale
Cattle Creek Formation,Timbury Hills Formation
Champion Bay Group,Chapman Group
Yarragadee Formation,Champion Bay Group
Chapman Group,Kockatea Shale
Walhalla Group,Childers Formation
Childers Formation,Jordan River Group
Thorpdale Volcanics,Childers Formation
Haunted Hills Gravel,Childers Formation
Childers Formation,Strzelecki Group
Port Willunga Formation,Chinaman Gully Formation
Aldinga Member,Chinaman Gully Formation
Pirramimma Sand Member,Chinaman Gully Formation
Downderry Limestone Member,Clearview Limestone Member
Clearview Limestone Member,Corner Limestone Member
Comerong Volcanics,Adaminaby Group
Mount Start Member,Cone Creek Metabasalt Member
Irregully Formation,Coobarra Formation
Gundangaroo Formation,Coorongooba Creek Sandstone
Gibsons Folly Formation,Cowombat Siltstone
Anketell Formation,Cronin Sandstone
Cronin Sandstone,Paterson Formation
Harajica Sandstone Member,Deering Siltstone Member
Deering Siltstone Member,Mereenie Sandstone
Denman Formation,Jerrys Plains Subgroup
Watts Sandstone,Denman Formation
Lambton Formation,Denman Formation
Devil Creek Formation,Irregully Formation
Devil Creek Formation,Discovery Formation
Halls Creek Group,Ding Dong Downs Volcanics
Dunns Mine Limestone,Rook Tuff
Dupuy Formation,Dingo Claystone
Egan Formation,Kuniandi Group
Egan Formation,Mount Bertram Sandstone
Yurabi Formation,Egan Formation
Egan Formation,King Leopold Sandstone
Egan Formation,Crowhurst Group
Sandover beds,Elkedra Granite
Emanuel Formation,Kunian Sandstone
Umberatana Group,Emeroo Subgroup
Emeroo Subgroup,Callanna Group
Jigalong Formation,Enacheddong Dolomite
Cravens Peak beds,Ethabuka Sandstone
Hooray Sandstone,Ethabuka Sandstone
Eurinilla Formation,Willawortina Formation
Coonarbine Formation,Eurinilla Formation
Fairbridge Volcanics,Weemalla Formation
"Oakdale Formation""""",Fairbridge Volcanics
Reedy Creek Limestone,Fairbridge Volcanics
Fairbridge Volcanics,Hensleigh Siltstone
Frank River Sandstone,Fargoo Tillite
Blackfellow Creek Sandstone,Fargoo Tillite
Fargoo Tillite,Skinner Sandstone
Fargoo Tillite,Angalarri Siltstone
Muderong Shale,Flag Sandstone
Zeepaard Formation,Flag Sandstone
Forbes Group,Girilambone Group
Douro Group,Forbes Group
Freeling Heights Quartzite,Brindana Schist
Garford Formation,Khasta Formation
Garford Formation,Hampton Sandstone
Ilkina Formation,Garford Formation
Moornaba Sand,Garford Formation
Wintrena Beds,Garford Formation
Broadhurst Formation,Paterson Formation
Choorun Formation,Broadhurst Formation
Isdell Formation,Broadhurst Formation
Broadhurst Formation,Coolbro Sandstone
Puffin Formation,Gibson Formation
Fenelon Formation,Gibson Formation
Gilgal Formation,Gullengumbel Formation
Cuddapan Formation,Gilpeppee Member
Gilpeppee Member,Doonmulla Member
Davys Plains Limestone Member,Glenrae Limestone Member
Glenrae Limestone Member,Gerybong Limestone Member
Glidden Group,Carson Volcanics
Glidden Group,Hooper Complex
Kuniandi Group,Glidden Group
Goldwyer Formation,Wilson Cliffs Sandstone
Reeves Formation,Goldwyer Formation
Grant Group,Goldwyer Formation
Mountain Creek Volcanics,Goobarragandra Volcanics
Grahams Creek Formation,Tiaro Coal Measures
Grahams Creek Formation,Duckinwilla Group
Tim Shea Sandstone,Great Dome Sandstone
Great Dome Sandstone,Singing Creek Formation
Gurnard Formation,Halibut Subgroup
Gurnard Formation,Dutson Sand Member
Gurnard Formation,Burong Formation
Swordfish Formation,Gurnard Formation
Princess Royal Spongolite,Hampton Sandstone
Glenrock Group,Hardwick Formation
Henschke Breccia,Hermit Creek Metamorphics
Hervey Group,Dulladerry Volcanics
Hervey Group,Fairbridge Volcanics
Hervey Group,Cootamundra Group
Hervey Group,Carawandool Volcanics
Hervey Group,Moura Formation
Hutchison Group,Dutton Suite
Hutchison Group,Carnot Gneiss
Hutchison Group,Sleaford Complex
Ilgarari Formation,Calyie Formation
Insolvency Gully Formation,Saint James Volcanics
Gardiner Sandstone,Inverway Metamorphics
Cronin Sandstone,Jarlemai Siltstone
Broome Sandstone,Jarlemai Siltstone
Jarlemai Siltstone,Wallal Sandstone
Jochmus Formation,Jericho Formation
Johnny Cake Shale Member,Jarrad Sandstone Member
Johnny Cake Shale Member,Moonlight Valley Tillite
Wickham Formation,Killaloc Formation
Antrim Plateau Volcanics,Killaloc Formation
Killaloc Formation,Fraynes Formation
Yarragadee Formation,Kojarena Sandstone
Koombana Beach Rock,Tamala Limestone
Koombana Beach Rock,Leschenault Formation
Yilgatherra Formation,Labouchere Formation
Wilthorpe Formation,Labouchere Formation
Labouchere Formation,Horseshoe Formation
Lake Gairdner Rhyolite,Chitanilga Volcanic Complex
Chandabooka Dacite,Lake Gairdner Rhyolite
Loughmore Formation,Lanes Shaft Coal Member
Cattamarra Coal Measures,Lesueur Sandstone
Cockleshell Gully Formation,Lesueur Sandstone
Eneabba Formation,Lesueur Sandstone
Lesueur Sandstone,Woodada Formation
Condren Sandstone,Lightjack Formation
Hardman Formation,Lightjack Formation
Lightjack Formation,Nookanbah Formation
Millyit Sandstone,Liveringa Group
Liveringa Group,Noonkanbah Formation
Liveringa Group,Grant Group
Tulcumba Sandstone,Luton Formation
Luton Formation,Mandowa Mudstone
Honman Formation,Maggie Hays Formation
Kullatine Formation,Majors Creek Formation
Tulcumba Sandstone,Mandowa Mudstone
Mandowa Mudstone,Keepit Conglomerate
Pullabooka Formation,Manna Conglomerate
Mulguthrie Formation,Manna Conglomerate
Manna Conglomerate,Kirribilli Formation
Manna Conglomerate,Murda Formation
Gerybong Limestone Member,Manooka Limestone Member
Manooka Limestone Member,Bourimbla Limestone Member
Pear Tree Dolostone,Margery Formation
Antrim Plateau Volcanics,Margery Formation
Marradong Formation,Wells Formation
Mary Kathleen Group,Malbon Group
Fiery Creek Volcanics,Mary Kathleen Group
Mary Kathleen Group,Haslingden Group
Brockman Iron Formation,Mount Sylvia Formation
Seaham Formation,Matthews Gap Dacitic Tuff Member
McDermott Formation,Sly Creek Sandstone
Wununmantyala Sandstone,McDermott Formation
McLean Basalt,Hodgkinson Formation
McLean Basalt,Dalrymple Sandstone
Mount Ada Basalt,McPhee Formation
Meda Formation,Erskine Sandstone
Meeway Volcanics,Burrell Creek Formation
Burrell Creek Formation,Meeway Volcanics
Keelbottom Group,Melon Creek Tonalite
Currabubula Formation,Merlewood Formation
Merlewood Formation,Goonoo Goonoo Formation
Bobby Volcanics,Miriam Vale Granodiorite
Coulston Volcanics,Miriam Vale Granodiorite
Gingin Chalk,Molecap Greensand
Molecap Greensand,Mirrabooka Member
Molecap Greensand,Dandaragan Sandstone
Renmark Group,Monash Formation
Monash Formation,Urana Formation
Cathedral Group,Montys Hut Formation
Mount Ada Basalt,Dresser Formation
Mount Ada Basalt,Mount Ada Basalt
Mount Ada Basalt,Double Bar Formation
Duffer Formation,Mount Ada Basalt
Louisa Downs Group,Mount Bertram Sandstone
Bindook Group,Mount Fairy Group
Tarago Conglomerate,Mount Fairy Group
Mount Margaret Quartzite,Fountain Spring Beds
Mowbray Formation,Newtown Formation
Tinowon Formation,Muggleton Formation
Muggleton Formation,Combarngo Volcanics
Mulga Downs Group,Amphitheatre Group
Mulga Downs Group,Girilambone Group
Mulga Downs Group,Booda Formation
Mulga Downs Group,Kopyje Group
Mulga Downs Group,Mossgiel Granite
Eyre Formation,Mulga Downs Group
Gap Creek Formation,Nambeet Formation
Grant Group,Nambeet Formation
Nangahrah Formation,Woodsreef Melange
Nathan Group,Amos Formation
Phelp Sandstone,Nathan Group
Nathan Group,Vizard Group
Armadale Shale,Neerigen Formation
Newtown Formation,Flagstaff Formation
Isismurra Formation,Newtown Formation
Nine Mile Volcanics,Temperance Formation
Gooandra Volcanics,Nine Mile Volcanics
Wallal Sandstone,Noonkanbah Formation
Triwhite Sandstone,Noonkanbah Formation
Lightjack Formation,Noonkanbah Formation
Hardman Formation,Noonkanbah Formation
Noonkanbah Formation,Grant Group
Noonkanbah Formation,Poole Sandstone
Noonkanbah Formation,Grant Formation
Renmark Beds,Nowranie Creek Formation
Nowranie Creek Formation,Loughmore Formation
Nuckulla Basalt,Baldry Rhyolite
Brodies Gap Rhyolite,Corkscrew Rhyolite
Brodies Gap Rhyolite,Dagworth Andesite
Wortupa Quartzite,Opaminda Formation
Opaminda Formation,Blue Mine Conglomerate
Overhang Jaspilite,Ballara Quartzite
Answer Slate,Overhang Jaspilite
Corella Formation,Overhang Jaspilite
Paddys River Volcanics,Adaminaby Beds
Paddys River Volcanics,Nungar Beds
Anketell Formation,Parda Formation
Frezier Sandstone,Parda Formation
Parda Formation,Paterson Formation
Parda Formation,Broome Sandstone
Parnell Formation,Allendale Metasediments
Erins Vale Formation,Pheasants Nest Formation
Kulnura Marine Tongue,Pheasants Nest Formation
Pheasants Nest Formation,Budgong Sandstone
Fairfield Group,Piker Hills Formation
Pine Hill Formation,Mount Thomas Quartzite
Seaham Formation,Pokolbin Hills Volcanics
Hallett Cove Sandstone,Port Willunga Formation
Hindmarsh Clay,Port Willunga Formation
Port Willunga Formation,Cape Jervis Formation
Port Willunga Formation,Blanche Point Limestone
Port Vincent Limestone,Port Willunga Formation
Rangal Coal Measures,Burngrove Formation
Rangal Coal Measures,Fort Cooper Coal Measures
Collopy Formation,Ravenswood Granodiorite Complex
Rogue Formation,Cape Jervis Formation
Port Vincent Limestone,Rogue Formation
Rogue Formation,Throoka Silts
Rolling Grounds Latite,Kellys Plain Volcanics
Brim Rockhole Formation,Saunders Creek Formation
Saunders Creek Formation,Sophie Downs Granite
Saunders Creek Formation,Ding Dong Downs Volcanics
Gleeson Formation,Short Range Sandstone
Singing Creek Formation,Trial Ridge Beds
Blackfellow Creek Sandstone,Skinner Sandstone
Skinner Sandstone,Angalarri Siltstone
Skinner Sandstone,Auvergne Group
Settlement Creek Dolerite,Sly Creek Sandstone
Aquarium Formation,Sly Creek Sandstone
Mary Kathleen Group,Soldiers Cap Group
Soldiers Cap Group,Fullarton River Group
South Curra Limestone,Glanmire Conglomerate Member
Tamaree Formation,South Curra Limestone
Chintin Formation,Springfield Sandstone
Springfield Sandstone,Deep Creek Siltstone
Stairway Sandstone,Horn Valley Siltstone
Polly Conglomerate,Stairway Sandstone
Stark Bay Formation,Kings Park Formation
Stein Formation,Landrigan Tillite
Murrumbidgee Group,Sugarloaf Creek Formation
Fifeshire Shale,Sugarloaf Creek Formation
Sugarloaf Creek Formation,Kirawin Formation
Keefton Formation,Tamaree Formation
Tantabiddi Member,Exmouth Sandstone
Tantabiddi Member,Jurabi Member
Broken Hill Group,"Bimba Formation"""""
Hyandra Creek Group,Toongi Group
Truro Volcanics,Fork Tree Limestone
Hawker Group,Truro Volcanics
Truro Volcanics,Heatherdale Shale
Truro Volcanics,Umberatana Group
Rangari Limestone Member,Tulcumba Sandstone
Dongara Sandstone,Wagina Sandstone
Wagina Sandstone,Carynginia Formation
Kockatea Shale,Wagina Sandstone
Bulldog Shale,Algebuckina Sandstone
Algebuckina Sandstone,Idracowra Sandstone
Algebuckina Sandstone,Langra Formation
Algebuckina Sandstone,Hutton Sandstone
Algebuckina Sandstone,Easter Monday Formation
Parabarana Sandstone,Algebuckina Sandstone
Algebuckina Sandstone,Epsilon Formation
Cadna owie Formation,Algebuckina Sandstone
Waurea Pyroclastics,Baldry Rhyolite
Jasper Gorge Sandstone,Weaner Sandstone
Weaner Sandstone,Bynoe Formation
Weaner Sandstone,Skull Creek Formation
Whim Creek Group,Cleaverville Formation
Bookingarra Group,Whim Creek Group
Whim Creek Group,Whundo Group
Cistern Formation,Whim Creek Group
Whim Creek Group,Caines Well Granite
Whim Creek Group,Gorge Creek Group
Whitlow Formation,Cara Formation
Sandon beds,Whitlow Formation
Wickham Formation,Campbell Springs Dolostone
Wickham Formation,Fraynes Formation
Burtawurta Formation,Wickham Formation
Hughie Sandstone,Wickham Formation
Potoroo Formation,Wigunda Formation
Willawortina Formation,Beverley Clay
Woori Yallock Formation,Wilson Creek Shale
Easts Lookout Siltstone,Wilson Creek Shale
Marshall Creek Member,Wilson Creek Shale
Wilson Creek Shale,Eildon Sandstone
Wilson Creek Shale,Humevale Siltstone
Wiluna Hardpan,Weelumurra beds
Wongawol Formation,Chiall Formation
Wongawol Formation,Princess Ranges Member
Woodada Formation,Sabina Sandstone
Cockleshell Gully Sandstone,Woodada Formation
Woodada Formation,Kockatea Shale
Main Range Volcanics,Woolshed Mountain Granodiorite
Woolshed Mountain Granodiorite,Woogaroo Subgroup
Wyman Formation,Euro Basalt
Gorge Creek Group,Wyman Formation
Corboy Formation,Wyman Formation
Fortescue Group,Wyman Formation
Sulphur Springs Group,Wyman Formation
Croydon Group,Wyman Formation
Farrel Quartzite,Wyman Formation
Charteris Basalt,Wyman Formation
Yandanooka Group,Mullingarra Complex
Yoganup Formation,Ascot Beds
Yoganup Formation,Osborne Formation
Yoganup Formation,Leederville Formation
Guildford Formation,Yoganup Formation
Walbiri Dolostone,Yuendumu Sandstone
Djagamara Formation,Yuendumu Sandstone
Yurabi Formation,Olympio Formation
Yurabi Formation,Crowhurst Group
Burges Formation,Shield Creek Formation
Burges Formation,Bracteata Mudstone
Bijerkerno Metasediments,Cartwrights Creek Metasediments
Cues Formation,Alma Granite Gneiss
Cues Formation,Lady Brassey Formation
Rasp Ridge Gneiss,Cues Formation
Himalaya Formation,Cues Formation
Cues Formation,Alders Tank Formation
Bumbolee Creek Formation,Gooandra Volcanics
Coopernook Conglomerate Member,Jolly Nose Conglomerate
Knox Siltstone Member,Sorby Dolomite Member
Cardabia Calcarenite,Lambert Formation
Leschenault Formation,Eaton Sand
Leschenault Formation,Australind Formation
Tank Creek Sandstone,Shield Creek Formation
Chinaman Creek Limestone,Tank Creek Sandstone
Dip Creek Limestone,Tank Creek Sandstone
Hutton Sandstone,Tinchoo Formation
Cuddapan Formation,Tinchoo Formation
Chinaman Gully Formation,Tuit Member
Oorabra Arkose,Unca Granite
Elyuah Formation,Unca Granite
Walcott Formation,Wilcox Formation
Whitewood Formation,Balfour Formation
Adler Hill Basalt,Hodgkinson Formation
Oxtrack Formation,Brae Formation
Brae Formation,Buffel Formation
Brae Formation,Pindari Formation
Tarlina Sandstone,Cadlareena Volcanics
Cadlareena Volcanics,Alinya Formation
Carron Rhyolite,Malacura Sandstone
Chabalowe Formation,Central Mount Stuart Formation
Arrinthrunga Formation,Chabalowe Formation
Chabalowe Formation,Barrow Creek Granite
Chabalowe Formation,Arthur Creek Formation
Chabalowe Formation,Hatches Creek Group
Corbett Formation,Daniel Creek Formation
Dead Horse Metabasalt,Daniel Creek Formation
Daniel Creek Formation,Bernecker Creek Formation
Unimbra Sandstone,Edmirringee Volcanics
Alinjabon Sandstone,Errolola Sandstone
Hagen Member,Arthur Creek Formation
Hagen Member,Hatches Creek Group
Jayah Creek Metabasalt,Kallala Quartzite
Juntala Metamorphics,Einasleigh Metamorphics
Lonely Tarns Formation,Sarah Jane Quartzite
Unimbra Sandstone,Mia Mia Volcanics
Moralana Supergroup,Wilpena Group
Daniel Creek Formation,Mount Helpman Member
Mount Helpman Member,Daniel Creek Formation
Murnaroo Formation,Meramangye Formation
Murnaroo Formation,Tarlina Sandstone
Murnaroo Formation,Alinya Formation
Dey Dey Mudstone,Murnaroo Formation
Wallatinna Formation,Ouldburra Formation
Ouldburra Formation,Relief Sandstone
Pindari Formation,Buffel Formation
Oxtrack Formation,Pindari Formation
Relief Sandstone,Murnaroo Formation
Cootanoorina Formation,Relief Sandstone
Riversdale Volcanics,Roxburgh Formation
Roxburgh Formation,Yellowmans Creek Formation
Taplow Limestone Member,Wyoming Limestone Member
Tops Member,Elkera Formation
Tops Member,Grant Bluff Formation
Tops Member,Forster Member
Archerfield Sandstone,Vane Subgroup
Jerrys Plains Subgroup,Archerfield Sandstone
Archerfield Sandstone,Bulga Formation
Aroona Creek Limestone,Eregunda Sandstone Member
Moodlatana Formation,Aroona Creek Limestone
Aroona Creek Limestone,Billy Creek Formation
Bagstowe Granite,Black Cap Microdiorite
Baiguridji Formation,Yarrawirrie Formation
Hume Limestone Member,Barrandella Shale Member
ABC Range Quartzite,Bayley Range Siltstone Member
Emu Point Member,Bedford Sandstone
King Leopold Sandstone,Bedford Sandstone
Beestons Formation,Stanley Metamorphics
Celia Dolostone,Beestons Formation
El Sherana Group,Beestons Formation
Beestons Formation,Rum Jungle complex
Beestons Formation,Waterhouse Complex
Biarraville Formation,Hampton Road Rhyolite
Blackwall Breccia,Weir Basalt
Blackwall Breccia,Neranleigh Fernvale beds
Receptaculites Limestone Member,Bloomfield Limestone Member
Cockatoo Point Limestone Member,Bloomfield Limestone Member
Bloomfield Limestone Member,Currajong Limestone Member
Bolla Bollana Tillite,Fitton Formation
Balcanoona Formation,Bolla Bollana Tillite
Burra Group,Bolla Bollana Tillite
Woogaroo Subgroup,Buaraba Mudstone
Buckets Gap Formation,Copeland Road Formation
Ranford Formation,Bullo River Sandstone
Bucket Spring Member,Bullo River Sandstone
Jeerinah Formation,Bunjinah Formation
Cadney Metamorphics,Erontonga Metamorphics
Cadney Metamorphics,Yambah Granulite
Cordalia Formation,Callytharra Formation
Callytharra Formation,Carrandibby Formation
Callytharra Formation,Lyons Group
Mermaid Formation,Broome Sandstone
Broome Sandstone,Baleine Formation
Samuel Formation,Broome Sandstone
Frezier Sandstone,Broome Sandstone
Broome Sandstone,Broome Buchia Beds
Basket Range Sandstone,Castambul Formation
Castambul Formation,Carey Gully Sandstone Member
Nooloo Formation,Choorun Formation
Choorun Formation,Rudall Complex
Combyingbar Formation,Wentworth Group
Combyingbar Formation,Bendoc Group
Combyingbar Formation,Errinundra Group
Coolbro Sandstone,Pungkuli Formation
Coolbro Sandstone,Rudall Complex
Eurinilla Formation,Coomb Spring Formation
Coonarbine Formation,Coomb Spring Formation
Coomb Spring Formation,Namba Formation
Coorikiana Sandstone,Bulldog Shale
Floods Creek Formation,Corona Dolomite
Coyrie Formation,Wooramel Group
